L,N,Q,absorption_coefficient,amplitude,beam_pos_x,beam_pos_y,beam_pos_z,bessel_order,epsrel,force_type,fx,fy,fz,medium_refractive_index,phase,radius,reference_function,refractive_index,vacuum_wavelength,vacuum_wavenumber,wavelength,wavenumber
0.05,25,7849000.0,0,1,0,0,-0.00578125,0,0.1,total,,,4.713688355252574e-12,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.005625,0,0.1,total,,,1.1184691839511303e-11,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00546875,0,0.1,total,,,2.1384704013635212e-11,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0053124999999999995,0,0.1,total,,,3.498711030402763e-11,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.005156249999999999,0,0.1,total,,,5.0871577914367175e-11,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.005,0,0.1,total,,,6.746827502722008e-11,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.004843750000000001,0,0.1,total,,,8.32576625706368e-11,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.004687500000000001,0,0.1,total,,,9.709685993847021e-11,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0045312500000000006,0,0.1,total,,,1.0869857920471571e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.004375,0,0.1,total,,,1.177297814324093e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00421875,0,0.1,total,,,1.2455271723052033e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0040625,0,0.1,total,,,1.287142711954596e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00390625,0,0.1,total,,,1.3022292718134814e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00375,0,0.1,total,,,1.299222362786423e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0035937499999999997,0,0.1,total,,,1.275570238470054e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0034375,0,0.1,total,,,1.2419861888562406e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0032812500000000003,0,0.1,total,,,1.2051642913548661e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.003125,0,0.1,total,,,1.1740402435983566e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00296875,0,0.1,total,,,1.1631148375394417e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0028125,0,0.1,total,,,1.1623503304204338e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0026562499999999998,0,0.1,total,,,1.1805002909953617e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0025,0,0.1,total,,,1.1984799539686564e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0023437500000000003,0,0.1,total,,,1.2152974436242782e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0021875,0,0.1,total,,,1.227389877098854e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00203125,0,0.1,total,,,1.2302557864916163e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.001875,0,0.1,total,,,1.2282346147366272e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00171875,0,0.1,total,,,1.2209956254975635e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0015625,0,0.1,total,,,1.2089389991126512e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00140625,0,0.1,total,,,1.1954396791269835e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00125,0,0.1,total,,,1.1831726699711998e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00109375,0,0.1,total,,,1.17728491726445e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0009375,0,0.1,total,,,1.1796386427848688e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00078125,0,0.1,total,,,1.189617877725238e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.000625,0,0.1,total,,,1.203222762155278e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00046875,0,0.1,total,,,1.2157588761527477e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.0003125,0,0.1,total,,,1.2238212020676047e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,-0.00015625,0,0.1,total,,,1.22797481570273e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.0,0,0.1,total,,,1.2243958327275233e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.00015625,0,0.1,total,,,1.2173565575864928e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.0003125,0,0.1,total,,,1.206122704705057e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.00046875,0,0.1,total,,,1.1926888447986952e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.000625,0,0.1,total,,,1.183124805647143e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.00078125,0,0.1,total,,,1.1761702088389546e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.0009375,0,0.1,total,,,1.1772164644960706e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.00109375,0,0.1,total,,,1.186278446057838e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.00125,0,0.1,total,,,1.2018184912904994e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.00140625,0,0.1,total,,,1.21877806142404e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.0015625,0,0.1,total,,,1.2323277039525823e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.00171875,0,0.1,total,,,1.2387548409937447e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.001875,0,0.1,total,,,1.2352737009605646e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.00203125,0,0.1,total,,,1.224488620669347e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.0021875,0,0.1,total,,,1.2079197810653618e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.0023437500000000003,0,0.1,total,,,1.1855007388230083e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.0025,0,0.1,total,,,1.1690290522467688e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.0026562499999999998,0,0.1,total,,,1.1544120803853848e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.0028125,0,0.1,total,,,1.1524538867109082e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.00296875,0,0.1,total,,,1.1672702601377333e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.003125,0,0.1,total,,,1.2010089702188288e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
0.05,25,7849000.0,0,1,0,0,0.0032812500000000003,0,0.1,total,,,1.2432354360985664e-10,1.33,0,2e-05,lip_const_func,1.596,1.064e-06,5905000.0,8e-07,7854000.0
