L,N,R,absorption_coefficient,amplitude,axicon_angle,axicon_angle_degree,beam_pos_x,beam_pos_y,beam_pos_z,bessel_order,bessel_spot,epsrel,force_type,fx,fy,fz,gaussian_spot,longitudinal_wavenumber,medium_refractive_index,phase,q,qr,radius,rayleigh_range,refractive_index,transversal_wavenumber,vacuum_wavelength,vacuum_wavenumber,wavelength,wavenumber,zmax
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.007135,0,2.929e-06,0.1,incident,,,6.168446402043445e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.006343,0,2.929e-06,0.1,incident,,,6.024060412944798e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.00555,0,2.929e-06,0.1,incident,,,6.03901999011451e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.004758,0,2.929e-06,0.1,incident,,,6.422456090869896e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.003965,0,2.929e-06,0.1,incident,,,5.57962452825468e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.003172,0,2.929e-06,0.1,incident,,,6.54675866237003e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.002379,0,2.929e-06,0.1,incident,,,6.15452036633937e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.001586,0,2.929e-06,0.1,incident,,,5.376689002420781e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.000793,0,2.929e-06,0.1,incident,,,5.53714799115581e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,0.0,0,2.929e-06,0.1,incident,,,5.701735514880462e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01268581927229678,0,2.929e-06,0.1,reflection,,,-2.3242142301927926e-16,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01189,0,2.929e-06,0.1,reflection,,,-1.1359633654884747e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0111,0,2.929e-06,0.1,reflection,,,-1.539817116061776e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01031,0,2.929e-06,0.1,reflection,,,-3.5751231706503005e-13,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.009514,0,2.929e-06,0.1,reflection,,,-2.3534174724365273e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.008721,0,2.929e-06,0.1,reflection,,,-4.131959180483326e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.007928,0,2.929e-06,0.1,reflection,,,-4.197587122208769e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.007135,0,2.929e-06,0.1,reflection,,,-4.3148770274954345e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.006343,0,2.929e-06,0.1,reflection,,,-3.9642104074508075e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.00555,0,2.929e-06,0.1,reflection,,,-3.674940774282661e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.004758,0,2.929e-06,0.1,reflection,,,-4.236571386100475e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.003965,0,2.929e-06,0.1,reflection,,,-3.698043748892775e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.003172,0,2.929e-06,0.1,reflection,,,-4.253287874948448e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.002379,0,2.929e-06,0.1,reflection,,,-4.026928351940905e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.001586,0,2.929e-06,0.1,reflection,,,-3.539327341652499e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.000793,0,2.929e-06,0.1,reflection,,,-3.6187130244987255e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,0.0,0,2.929e-06,0.1,reflection,,,-3.723929288744667e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01268581927229678,0,2.929e-06,0.1,transmission,,,-1.4065456561856271e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01189,0,2.929e-06,0.1,transmission,,,-6.885269249386774e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0111,0,2.929e-06,0.1,transmission,,,-6.667232824246678e-13,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01031,0,2.929e-06,0.1,transmission,,,-1.3444153048980523e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.009514,0,2.929e-06,0.1,transmission,,,-1.768811872804652e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.008721,0,2.929e-06,0.1,transmission,,,-6.024648569585217e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.007928,0,2.929e-06,0.1,transmission,,,-5.555308135742847e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.007135,0,2.929e-06,0.1,transmission,,,-5.57262267772758e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.006343,0,2.929e-06,0.1,transmission,,,-5.448544400488161e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.00555,0,2.929e-06,0.1,transmission,,,-5.470728592277303e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.004758,0,2.929e-06,0.1,transmission,,,-5.810577654782729e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.003965,0,2.929e-06,0.1,transmission,,,-5.044781043262304e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.003172,0,2.929e-06,0.1,transmission,,,-5.924329150063366e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.002379,0,2.929e-06,0.1,transmission,,,-5.567361937172335e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.001586,0,2.929e-06,0.1,transmission,,,-4.863003028733986e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.000793,0,2.929e-06,0.1,transmission,,,-5.009281851447111e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,0.0,0,2.929e-06,0.1,transmission,,,-5.158266665989364e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01259,0,2.929e-06,0.1,total,,,1.3675905879925258e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01239,0,2.929e-06,0.1,total,,,2.286188913414175e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01219,0,2.929e-06,0.1,total,,,3.4684045541273878e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01199,0,2.929e-06,0.1,total,,,5.68349202317983e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01179,0,2.929e-06,0.1,total,,,8.765499581614523e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0116,0,2.929e-06,0.1,total,,,1.37857112182034e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0114,0,2.929e-06,0.1,total,,,2.7381759198614733e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0112,0,2.929e-06,0.1,total,,,5.2988126503967506e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.011,0,2.929e-06,0.1,total,,,1.0028249127171728e-13,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0108,0,2.929e-06,0.1,total,,,2.283145639488877e-13,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0106,0,2.929e-06,0.1,total,,,5.203002763779239e-13,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01042,0,2.929e-06,0.1,total,,,1.0387607940910544e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01034,0,2.929e-06,0.1,total,,,1.441847200899268e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01026,0,2.929e-06,0.1,total,,,2.0327869964540877e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01018,0,2.929e-06,0.1,total,,,2.7570643310823718e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0101,0,2.929e-06,0.1,total,,,3.5993984580872803e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01002,0,2.929e-06,0.1,total,,,4.68859535671222e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.009936,0,2.929e-06,0.1,total,,,6.241719321156003e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
