x,y,z,force
0,0,-0.015,1.3461810597480144e-14
0,0,0.0,2.8376728686676233e-10
0,0,0.015,1.343474969935727e-14
0,0,-0.01125,2.1246994828106205e-14
0,0,-0.0075,1.8679960716364062e-13
0,0,-0.00375,2.67814290346104e-10
0,0,0.00375,2.7204955393882203e-10
0,0,0.0075,2.1983851929179702e-13
0,0,0.01125,1.7912926198311623e-14
0,0,-0.01406,6.9936166892226494e-15
0,0,-0.01312,1.778888534031015e-14
0,0,-0.01219,1.911848766511838e-14
0,0,-0.01031,5.517564521635167e-14
0,0,-0.009375,3.208349465046354e-14
0,0,-0.008438,1.6138849543950468e-13
0,0,-0.006562,5.45007884683112e-13
0,0,-0.005625,1.1047609635861761e-11
0,0,-0.004688,1.1282871820197151e-10
0,0,-0.002812,2.89841056614608e-10
0,0,-0.001875,2.43580358639097e-10
0,0,-0.0009375,2.555458607025808e-10
0,0,0.0009375,2.578566024697008e-10
0,0,0.001875,2.4254295911890647e-10
0,0,0.002812,2.869231484674335e-10
0,0,0.004688,1.2040871198744105e-10
0,0,0.005625,1.2715681917981617e-11
0,0,0.006562,5.102666485701348e-13
0,0,0.008438,1.6711959213313225e-13
0,0,0.009375,3.016098940196206e-14
0,0,0.01031,6.148606117861996e-14
0,0,0.01219,2.2594711488825437e-14
0,0,0.01312,1.6255859207891082e-14
0,0,0.01406,8.141992159936778e-15
0,0,-0.01453,8.260355495486487e-15
0,0,-0.01359,1.7411082856203376e-14
0,0,-0.01266,8.9745020909169e-15
0,0,-0.01172,3.3230376679432414e-14
0,0,-0.01078,2.0404068152764227e-14
0,0,-0.009844,5.782086565778243e-14
0,0,-0.008906,9.041512372941826e-14
0,0,-0.007969,9.895700531042487e-14
0,0,-0.007031,5.977144163373613e-13
0,0,-0.006094,1.1012213903532323e-12
0,0,-0.005156,4.573572560114312e-11
0,0,-0.004219,1.9756248296860426e-10
0,0,-0.003281,2.983855985182991e-10
0,0,-0.002344,2.6374062554190376e-10
0,0,-0.001406,2.4138013637281353e-10
0,0,-0.0004688,2.7446605033494644e-10
0,0,0.0004688,2.7631318482673164e-10
0,0,0.001406,2.4248470247613003e-10
0,0,0.002344,2.60871111818502e-10
0,0,0.003281,2.981599596376607e-10
0,0,0.004219,2.0516015855297525e-10
0,0,0.005156,5.047418997499576e-11
0,0,0.006094,1.2541133420652487e-12
0,0,0.007031,6.681423371456334e-13
0,0,0.007969,8.385671689916115e-14
0,0,0.008906,1.0677613853590828e-13
0,0,0.009844,5.374731113767602e-14
0,0,0.01078,2.3604999917248255e-14
0,0,0.01172,3.3811445136658624e-14
0,0,0.01266,8.306898524591285e-15
0,0,0.01359,1.914916820543295e-14
0,0,0.01453,6.935504381793444e-15
0,0,-0.01477,1.1805379093587641e-14
0,0,-0.0143,5.808249570108311e-15
0,0,-0.01383,1.1828929704972785e-14
0,0,-0.01336,2.0010279370798403e-14
0,0,-0.01289,1.258644885934239e-14
0,0,-0.01242,1.1069173951951864e-14
0,0,-0.01195,2.8563811071341414e-14
0,0,-0.01148,2.979398437174819e-14
0,0,-0.01102,1.5560955348332792e-14
0,0,-0.01055,3.6405695443926336e-14
0,0,-0.01008,6.455722789759288e-14
0,0,-0.009609,4.1164738719339266e-14
0,0,-0.009141,4.795922997190153e-14
0,0,-0.008672,1.3870394713453108e-13
0,0,-0.008203,1.4125913758693374e-13
0,0,-0.007734,9.330872251918902e-14
0,0,-0.007266,3.846310694593662e-13
0,0,-0.006797,6.760635281670706e-13
0,0,-0.006328,4.3004058025632565e-13
0,0,-0.005859,3.9845478526915185e-12
0,0,-0.005391,2.441210675357953e-11
0,0,-0.004922,7.555785205955816e-11
0,0,-0.004453,1.5482885729706525e-10
0,0,-0.003984,2.365543846206931e-10
0,0,-0.003516,2.88694218696929e-10
0,0,-0.003047,2.979376629584302e-10
0,0,-0.002578,2.773429929050466e-10
0,0,-0.002109,2.518288080773059e-10
0,0,-0.001641,2.4004284491458997e-10
0,0,-0.001172,2.469723742050683e-10
0,0,-0.0007031,2.653597451048315e-10
0,0,-0.0002344,2.8104580970639645e-10
0,0,0.0002344,2.8207379795808094e-10
0,0,0.0007031,2.676600679143132e-10
0,0,0.001172,2.488590192038498e-10
0,0,0.001641,2.401240049661745e-10
0,0,0.002109,2.4974625677039275e-10
0,0,0.002578,2.74137956801056e-10
0,0,0.003047,2.960249781991704e-10
0,0,0.003516,2.906349014149204e-10
0,0,0.003984,2.427983172272921e-10
0,0,0.004453,1.628812905973124e-10
0,0,0.004922,8.192157158944421e-11
0,0,0.005391,2.7485000727812552e-11
0,0,0.005859,4.673518350298801e-12
0,0,0.006328,3.913393888173264e-13
0,0,0.006797,7.048860778039683e-13
0,0,0.007266,4.509213747278197e-13
0,0,0.007734,9.282657524576029e-14
0,0,0.008203,1.321474586263217e-13
0,0,0.008672,1.551184866548896e-13
0,0,0.009141,5.582495110468827e-14
0,0,0.009609,3.47789375481454e-14
0,0,0.01008,6.628768324940917e-14
0,0,0.01055,4.304711953167467e-14
0,0,0.01102,1.4404275601195134e-14
0,0,0.01148,2.7468923818125143e-14
0,0,0.01195,3.164872108450671e-14
0,0,0.01242,1.2829130343180079e-14
0,0,0.01289,1.0593267556786857e-14
0,0,0.01336,2.016629954497164e-14
0,0,0.01383,1.3949722883409562e-14
0,0,0.0143,5.4196718343592955e-15
0,0,0.01477,1.0688539277992358e-14
