x,y,z,force
0,0,-0.015,2.5470737876612607e-14
0,0,-0.0075,8.914193034857611e-14
0,0,0.0,5.795761157317325e-13
0,0,0.0075,8.282532194838162e-14
0,0,0.015,5.063794577224079e-14
0,0,-0.01125,7.561511296341264e-15
0,0,-0.00375,1.5386321359121368e-14
0,0,0.00375,1.220973841314493e-13
0,0,0.01125,1.91601342589186e-15
0,0,-0.01406,4.726069810918198e-14
0,0,-0.01312,5.157947618000974e-14
0,0,-0.01219,3.2406754723442003e-14
0,0,-0.01031,1.0343138617999872e-15
0,0,-0.009375,2.13687321986835e-14
0,0,-0.008438,5.897750169321857e-14
0,0,-0.006562,8.512342411612644e-14
0,0,-0.005625,4.608369330147696e-14
0,0,-0.004688,5.488363960602959e-15
0,0,-0.002812,1.0637641214279165e-13
0,0,-0.001875,2.693529264180802e-13
0,0,-0.0009375,4.524164923276943e-13
0,0,0.0009375,5.862766944258755e-13
0,0,0.001875,4.729689411333445e-13
0,0,0.002812,2.9186811377816825e-13
0,0,0.004688,2.022362627264092e-14
0,0,0.005625,1.7091293071896654e-15
0,0,0.006562,3.8779496458640735e-14
0,0,0.008438,9.282016366997228e-14
0,0,0.009375,6.573910797186586e-14
0,0,0.01031,2.6179691844274103e-14
0,0,0.01219,4.9711675975228296e-15
0,0,0.01312,2.775424796176936e-14
0,0,0.01406,4.974043924582075e-14
0,0,-0.01453,3.711659635105031e-14
0,0,-0.01359,5.251619576787077e-14
0,0,-0.01266,4.4268150693751e-14
0,0,-0.01172,1.90793932372888e-14
0,0,-0.01078,1.0030821192272797e-15
0,0,-0.009844,8.01213240335043e-15
0,0,-0.008906,3.931509298671165e-14
0,0,-0.007969,7.698154365971785e-14
0,0,-0.007031,9.20358897102817e-14
0,0,-0.006094,6.866581629625394e-14
0,0,-0.005156,2.2685346297851036e-14
0,0,-0.004219,1.5661208863203176e-15
0,0,-0.003281,5.02326584678359e-14
0,0,-0.002344,1.812775381956718e-13
0,0,-0.001406,3.629559733877923e-13
0,0,-0.0004688,5.278954119963829e-13
0,0,0.0004688,5.996620250129625e-13
0,0,0.001406,5.418052685610808e-13
0,0,0.002344,3.8568084341353475e-13
0,0,0.003281,2.0109537657392905e-13
0,0,0.004219,6.082700500998093e-14
0,0,0.005156,1.4081380350278194e-15
0,0,0.006094,1.6105214220596247e-14
0,0,0.007031,6.306401691166939e-14
0,0,0.007969,9.31682101577667e-14
0,0,0.008906,8.278840710115023e-14
0,0,0.009844,4.5494836263955374e-14
