x,y,z,force
0,0,-0.015,2.1834368032998917e-12
0,0,-0.0075,4.506326513684568e-12
0,0,0.0,3.036140087315583e-11
0,0,0.0075,4.571191697390894e-12
0,0,0.015,1.919931008356372e-12
0,0,-0.01125,3.5808901852056525e-13
0,0,-0.00375,4.563801309425821e-12
0,0,0.00375,3.4485843165481976e-12
0,0,0.01125,4.1714682997963625e-13
0,0,-0.01406,2.576693249008639e-12
0,0,-0.01312,2.0099695614799857e-12
0,0,-0.01219,9.37107466633306e-13
0,0,-0.01031,9.784151234855323e-13
0,0,-0.009375,2.627649371911882e-12
0,0,-0.008438,4.22668364521035e-12
0,0,-0.006562,3.1239109607708802e-12
0,0,-0.005625,1.2503902501610755e-12
0,0,-0.004688,1.1110713062142137e-12
0,0,-0.002812,1.1811457574573864e-11
0,0,-0.001875,2.0826350167555072e-11
0,0,-0.0009375,2.8081745890656024e-11
0,0,0.0009375,2.66745660210686e-11
0,0,0.001875,1.8694164190674284e-11
0,0,0.002812,9.875031323631616e-12
0,0,0.004688,9.578950835451376e-13
0,0,0.005625,1.7151391181267828e-12
0,0,0.006562,3.6097331069842324e-12
0,0,0.008438,3.870842499782333e-12
0,0,0.009375,2.1641829672354477e-12
0,0,0.01031,7.155645658473964e-13
0,0,0.01219,1.223754049260145e-12
0,0,0.01312,2.2601147990451396e-12
0,0,0.01406,2.5506963233315653e-12
0,0,-0.01453,2.49556718223818e-12
0,0,-0.01359,2.406114728608157e-12
0,0,-0.01266,1.4780899440100548e-12
0,0,-0.01172,5.242982178518129e-13
0,0,-0.01078,5.052980820591634e-13
0,0,-0.009844,1.7257147958951292e-12
0,0,-0.008906,3.52028118964904e-12
0,0,-0.007969,4.587213358684746e-12
0,0,-0.007031,3.98807526356476e-12
0,0,-0.006094,2.1210067567859585e-12
0,0,-0.005156,8.217982120844083e-13
0,0,-0.004219,2.321386271039045e-12
0,0,-0.003281,7.789985986032637e-12
0,0,-0.002344,1.6294787424833966e-11
0,0,-0.001406,2.4907634650654007e-11
0,0,-0.0004688,2.9969416865686154e-11
0,0,0.0004688,2.921821177650963e-11
0,0,0.001406,2.302756837102695e-11
0,0,0.002344,1.4157254210884255e-11
0,0,0.003281,6.215230880516602e-12
0,0,0.004219,1.7032306001817785e-12
