x,y,z,force
0,0,-0.015,1.2225921488254882e-11
0,0,-0.0075,2.7994143000091593e-11
0,0,0.0,1.8266884832711858e-10
0,0,0.0075,2.7860648209419042e-11
0,0,0.015,1.2764145731593217e-11
0,0,-0.01125,2.293396400577418e-12
0,0,-0.00375,2.230382944020931e-11
0,0,0.00375,2.455013593955942e-11
0,0,0.01125,2.1717106860140026e-12
0,0,-0.01406,1.58283163722277e-11
0,0,-0.01312,1.338794624065822e-11
0,0,-0.01219,6.8311094294534585e-12
0,0,-0.01031,4.718007795753697e-12
0,0,-0.009375,1.3923096039409178e-11
0,0,-0.008438,2.4291558727547052e-11
0,0,-0.006562,2.1272229057167e-11
0,0,-0.005625,9.531249166338742e-12
0,0,-0.004688,5.737148440389507e-12
0,0,-0.002812,6.234010747951339e-11
0,0,-0.001875,1.1590462009306692e-10
0,0,-0.0009375,1.629237114466338e-10
0,0,0.0009375,1.6575501813806134e-10
0,0,0.001875,1.201999295632234e-10
0,0,0.002812,6.625402581172811e-11
0,0,0.004688,6.035238801486886e-12
0,0,0.005625,8.577741134558586e-12
0,0,0.006562,2.028330610751897e-11
0,0,0.008438,2.501244022751083e-11
0,0,0.009375,1.4864691567067702e-11
0,0,0.01031,5.2506506128982996e-12
0,0,0.01219,6.246275290136257e-12
0,0,0.01312,1.2878565996763066e-11
0,0,0.01406,1.5882163338079385e-11
0,0,-0.01453,1.4655051334149842e-11
0,0,-0.01359,1.539019730930841e-11
0,0,-0.01266,1.0280876106297273e-11
0,0,-0.01172,3.910437804116998e-12
0,0,-0.01078,2.5059864243471888e-12
0,0,-0.009844,8.7159275300344e-12
0,0,-0.008906,1.946326375520918e-11
0,0,-0.007969,2.7388663643801927e-11
0,0,-0.007031,2.583424874212855e-11
0,0,-0.006094,1.5321509392247402e-11
0,0,-0.005156,5.734346592156398e-12
0,0,-0.004219,1.099108330497759e-11
0,0,-0.003281,3.970283574860569e-11
0,0,-0.002344,8.853150375327325e-11
0,0,-0.001406,1.4165831612419503e-10
0,0,-0.0004688,1.7717960084489123e-10
0,0,0.0004688,1.7869064922002615e-10
0,0,0.001406,1.4545209396818038e-10
0,0,0.002344,9.284957768526421e-11
0,0,0.003281,4.2884924693842514e-11
0,0,0.004219,1.2231745248969e-11
0,0,0.005156,5.269677649178214e-12
0,0,0.006094,1.4197017030237093e-11
0,0,0.007031,2.5215086496458593e-11
0,0,0.007969,2.773502596673426e-11
0,0,0.008906,2.0387944908721627e-11
0,0,0.009844,9.511244631566757e-12
0,0,0.01078,2.714918693350914e-12
0,0,0.01172,3.507534622887936e-12
0,0,0.01266,9.655192143383254e-12
0,0,0.01359,1.512965639653252e-11
0,0,0.01453,1.5002052716742435e-11
0,0,-0.025,1.5588065345509638e-15
0,0,-0.01477,1.3562824853363824e-11
0,0,-0.0143,1.542914237617319e-11
0,0,-0.01383,1.581813361211651e-11
0,0,-0.01336,1.4564853013044983e-11
0,0,-0.01289,1.1929905535628916e-11
0,0,-0.01242,8.544266770712875e-12
0,0,-0.01195,5.251725517295674e-12
0,0,-0.01148,2.899288128166588e-12
0,0,-0.01102,2.1505674178777895e-12
0,0,-0.01055,3.366829551776325e-12
0,0,-0.01008,6.521636477196553e-12
0,0,-0.009609,1.121734194802501e-11
0,0,-0.009141,1.6714987619227115e-11
0,0,-0.008672,2.2033329924089325e-11
0,0,-0.008203,2.611303433913863e-11
0,0,-0.007734,2.803360179151361e-11
0,0,-0.007266,2.725240801131745e-11
0,0,-0.006797,2.3804863133425406e-11
0,0,-0.006328,1.8383746692103676e-11
0,0,-0.005859,1.229483694392934e-11
