,095,101,120
5.16529e-05,-4.64717e-14,5.5669500000000006e-14,1.45025e-12
5.5785099999999996e-05,-4.04698e-14,4.6457599999999995e-14,1.2089399999999999e-12
5.9917399999999997e-05,-3.41037e-14,3.51742e-14,9.39184e-13
6.40496e-05,-2.89432e-14,2.50935e-14,7.05164e-13
6.818179999999999e-05,-2.6409100000000002e-14,1.82272e-14,5.43988e-13
7.231399999999999e-05,-2.6779400000000004e-14,1.46484e-14,4.557140000000001e-13
7.644629999999999e-05,-2.92829e-14,1.33029e-14,4.1885600000000006e-13
8.057850000000001e-05,-3.29321e-14,1.3090500000000001e-14,4.10783e-13
8.47107e-05,-3.7093e-14,1.33127e-14,4.17285e-13
8.884299999999999e-05,-4.1441e-14,1.37001e-14,4.33442e-13
9.29752e-05,-4.57276e-14,1.4439600000000002e-14,4.6287e-13
9.710739999999999e-05,-4.9662400000000003e-14,1.60694e-14,5.145859999999999e-13
0.00010123999999999999,-5.279169999999999e-14,1.9034900000000003e-14,5.94614e-13
0.00010537200000000001,-5.4434400000000004e-14,2.3211199999999998e-14,6.969899999999999e-13
0.00010950399999999999,-5.4025900000000004e-14,2.7855400000000002e-14,8.025850000000001e-13
0.00011363600000000001,-5.17466e-14,3.19803e-14,8.87175e-13
0.00011776899999999999,-4.8626800000000005e-14,3.47524e-14,9.31825e-13
0.00012190100000000001,-4.5695e-14,3.56686e-14,9.28594e-13
0.00012603299999999998,-4.29177e-14,3.458169999999999e-14,8.804899999999999e-13
0.00013016499999999998,-3.9092e-14,3.1710900000000007e-14,7.98392e-13
0.000134298,-3.29026e-14,2.76209e-14,6.96962e-13
0.00013843,-2.41935e-14,2.30676e-14,5.903020000000001e-13
0.000142562,-1.43483e-14,1.87146e-14,4.88695e-13
0.00014669399999999997,-5.47704e-15,1.49182e-14,3.98081e-13
0.00015082599999999998,8.9031e-16,1.17681e-14,3.2173000000000003e-13
0.000154959,4.512360000000001e-15,9.2772e-15,2.61156e-13
0.000159091,6.0698500000000006e-15,7.42773e-15,2.14936e-13
0.00016322299999999997,6.34061e-15,6.04685e-15,1.78125e-13
0.00016735499999999997,5.83781e-15,4.82577e-15,1.45185e-13
0.000171488,4.98106e-15,3.59621e-15,1.14245e-13
0.00017562,4.1615e-15,2.49628e-15,8.75764e-14
0.000179752,3.52543e-15,1.73733e-15,6.75714e-14
0.00018388400000000002,2.97167e-15,1.28718e-15,5.3460699999999994e-14
0.00018801699999999999,2.48284e-15,9.3102e-16,4.2593e-14
0.000192149,2.23003e-15,5.79269e-16,3.36286e-14
0.00019628099999999997,2.26194e-15,3.28281e-16,2.7073400000000005e-14
0.00020041299999999998,2.3724299999999998e-15,2.28368e-16,2.32549e-14
0.000204545,2.4299900000000003e-15,1.80593e-16,2.12737e-14
0.00020867799999999998,2.57462e-15,1.0379399999999999e-16,2.0066e-14
0.00021281,2.9110199999999997e-15,4.31287e-17,1.9410499999999998e-14
0.000216942,3.2746699999999996e-15,4.63014e-17,1.94957e-14
0.000221074,3.5209499999999998e-15,6.22779e-17,2.0179499999999997e-14
0.00022520699999999997,3.7897599999999995e-15,3.83762e-17,2.10817e-14
0.000229339,4.22908e-15,1.13451e-17,2.20195e-14
0.00023347099999999996,4.6971000000000005e-15,2.39981e-17,2.30266e-14
0.00023760299999999997,5.02444e-15,3.8903899999999995e-17,2.4124299999999998e-14
0.000241736,5.34594e-15,1.0985999999999998e-17,2.52485e-14
0.000245868,5.85203e-15,-2.84668e-17,2.62983e-14
0.00025,6.415519999999999e-15,-3.4991400000000003e-17,2.7198500000000002e-14
