,095,101,120
0.00322314,1.4887700000000001e-12,3.60469e-14,1.07568e-11
0.0033884300000000004,1.5578700000000001e-12,3.3736300000000007e-14,1.1099999999999999e-11
0.00355372,1.60078e-12,3.4654400000000006e-14,1.14402e-11
0.00371901,1.59572e-12,3.94411e-14,1.16608e-11
0.0038843000000000003,1.5331600000000001e-12,4.8289099999999993e-14,1.16853e-11
0.0040495900000000005,1.42036e-12,6.070309999999999e-14,1.14989e-11
0.00421488,1.27774e-12,7.51779e-14,1.11296e-11
0.00438017,1.1287399999999999e-12,8.90835e-14,1.06014e-11
0.0045454499999999995,9.887180000000001e-13,9.90585e-14,9.89668e-12
0.004710740000000001,8.59508e-13,1.01966e-13,8.95894e-12
0.00487603,7.32499e-13,9.608760000000001e-14,7.73853e-12
0.00504132,5.97873e-13,8.19697e-14,6.25359e-12
0.0052066099999999995,4.5381300000000003e-13,6.24292e-14,4.62292e-12
0.005371900000000001,3.0989499999999996e-13,4.1609800000000003e-14,3.04372e-12
0.00553719,1.82863e-13,2.35026e-14,1.7216900000000001e-12
0.00570248,8.79042e-14,1.06213e-14,7.91148e-13
0.0058677700000000005,3.1043e-14,3.4275799999999996e-15,2.69116e-13
0.00603306,7.01904e-15,6.765219999999999e-16,6.58301e-14
0.00619835,3.18412e-15,3.7028199999999996e-16,4.0388999999999996e-14
0.00636364,6.30675e-15,7.552810000000001e-16,6.675060000000001e-14
0.00652893,8.00836e-15,8.88668e-16,7.51296e-14
0.006694210000000001,6.21331e-15,6.31318e-16,5.42248e-14
0.0068595,2.92642e-15,2.6221e-16,2.46923e-14
0.0070247899999999995,7.393439999999999e-16,5.41913e-17,7.63468e-15
0.007190080000000001,5.48579e-16,6.18808e-17,7.70252e-15
0.00735537,1.44957e-15,1.60949e-16,1.53248e-14
0.00752066,2.04814e-15,2.07987e-16,1.89764e-14
0.00768595,1.7176100000000001e-15,1.58509e-16,1.48156e-14
0.00785124,8.528729999999999e-16,6.816939999999999e-17,7.19781e-15
0.00801653,2.2667599999999995e-16,1.41094e-17,2.48434e-15
0.008181820000000001,2.22634e-16,2.30946e-17,3.04208e-15
0.008347110000000001,6.039e-16,6.223689999999999e-17,6.2382300000000004e-15
0.0085124,8.683519999999999e-16,8.24204e-17,7.92678e-15
0.00867769,7.4534e-16,6.43898e-17,6.37369e-15
0.00884298,3.77872e-16,2.8047499999999995e-17,3.19247e-15
0.00900826,1.0479899999999999e-16,5.85846e-18,1.17353e-15
0.00917355,1.17967e-16,1.1362699999999999e-17,1.55679e-15
0.00933884,3.19183e-16,3.10568e-17,3.2313200000000002e-15
0.00950413,4.62745e-16,4.1777600000000005e-17,4.17314e-15
0.009669420000000001,4.0298999999999997e-16,3.3201399999999997e-17,3.42296e-15
0.009834710000000002,2.0764599999999999e-16,1.4645e-17,1.75369e-15
0.01,5.956640000000001e-17,3.0858e-18,6.686789999999999e-16
