x,y,z,force
0,0,-0.015,1.9218067317300636e-15
0,0,0.0,2.482488829687374e-12
0,0,0.015,1.4887531988676833e-16
0,0,-0.01312,5.986934269348272e-15
0,0,-0.01125,1.6147724406965723e-14
0,0,-0.009375,3.316196215744907e-12
0,0,-0.0075,5.949997471840258e-12
0,0,-0.005625,4.503059875481566e-12
0,0,-0.00375,3.701482404167003e-12
0,0,-0.001875,3.246277968882104e-12
0,0,0.001875,2.249368103362453e-12
0,0,0.00375,1.7147103361779241e-12
0,0,0.005625,1.5168916314861982e-12
0,0,0.0075,1.2307135849012325e-12
0,0,0.009375,8.007833087218975e-13
0,0,0.01125,2.770637878522587e-15
0,0,0.01312,2.5492714376035923e-17
0,0,-0.01453,2.6602880527541655e-15
0,0,-0.01406,1.269179236806923e-16
0,0,-0.01359,1.7335113731479548e-15
0,0,-0.01266,2.241311454760064e-15
0,0,-0.01219,1.770207246031811e-15
0,0,-0.01172,1.6076310439833908e-14
0,0,-0.01078,4.341384644296902e-14
0,0,-0.01031,3.865584711711116e-13
0,0,-0.009844,1.4648648004309163e-12
0,0,-0.008906,5.294085961748911e-12
0,0,-0.008438,6.52041883583831e-12
0,0,-0.007969,6.6167457111109945e-12
0,0,-0.007031,5.148197471066125e-12
0,0,-0.006562,4.620612614884168e-12
0,0,-0.006094,4.450005886099923e-12
0,0,-0.005156,4.544976207877106e-12
0,0,-0.004688,4.402351943690721e-12
0,0,-0.004219,4.0742014382502215e-12
0,0,-0.003281,3.4255191800054315e-12
0,0,-0.002812,3.29826626751198e-12
0,0,-0.002344,3.274192072999998e-12
0,0,-0.001406,3.1263684727478284e-12
0,0,-0.0009375,2.90870678474837e-12
0,0,-0.0004688,2.667418856418524e-12
0,0,0.0004688,2.389611986990373e-12
0,0,0.0009375,2.3634541511799537e-12
0,0,0.001406,2.336725334507871e-12
0,0,0.002344,2.0934644535911497e-12
0,0,0.002812,1.918014205757342e-12
0,0,0.003281,1.7818452067396966e-12
0,0,0.004219,1.7023477938469347e-12
0,0,0.004688,1.6942321480411496e-12
0,0,0.005156,1.6372126330343646e-12
0,0,0.006094,1.3707719285018313e-12
0,0,0.006562,1.2557282411244507e-12
0,0,0.007031,1.2093407343725856e-12
0,0,0.007969,1.2715912698341179e-12
0,0,0.008438,1.2482733563096477e-12
0,0,0.008906,1.0910260004845965e-12
0,0,0.009844,4.641328093888941e-13
0,0,0.01031,1.9355970021873393e-13
0,0,0.01078,4.708075972517705e-14
0,0,0.01172,2.0614220374186368e-15
0,0,0.01219,3.799285967774235e-15
0,0,0.01266,1.1763211242588872e-15
0,0,0.01359,9.451846964367272e-16
0,0,0.01406,9.639198973593705e-16
0,0,0.01453,1.0251045893250786e-16
0,0,-0.01488,2.4894817418525133e-15
0,0,-0.01477,2.8426816483952688e-15
0,0,-0.01465,2.916250838355747e-15
0,0,-0.01441,2.094279052604032e-15
0,0,-0.0143,1.3513142746921584e-15
0,0,-0.01418,6.51711531129864e-16
0,0,-0.01395,-9.492579991766494e-17
0,0,-0.01383,8.799766057346137e-17
0,0,-0.01371,7.126798056723098e-16
0,0,-0.01348,3.0119325744252138e-15
0,0,-0.01336,4.329699818705775e-15
0,0,-0.01324,5.4072500306829954e-15
0,0,-0.01301,5.932800195875782e-15
0,0,-0.01289,5.147108476943609e-15
0,0,-0.01277,3.749517700101511e-15
0,0,-0.01254,9.586221232094964e-16
0,0,-0.01242,2.3029926769980165e-16
0,0,-0.0123,4.1627573399737003e-16
0,0,-0.01207,4.35196834742589e-15
0,0,-0.01195,7.949551226405311e-15
0,0,-0.01184,1.209199577649625e-14
0,0,-0.0116,1.8999426062183252e-14
0,0,-0.01148,2.003380387525845e-14
0,0,-0.01137,1.8779506154901472e-14
0,0,-0.01113,1.3948971182017785e-14
0,0,-0.01102,1.5151959011436547e-14
0,0,-0.0109,2.3186706091139552e-14
0,0,-0.01066,8.238233742599265e-14
0,0,-0.01055,1.475196730195508e-13
0,0,-0.01043,2.465363990223382e-13
0,0,-0.0102,5.752261664781969e-13
0,0,-0.01008,8.165146810498318e-13
0,0,-0.009961,1.1135021396123185e-12
0,0,-0.009727,1.8709517567564137e-12
0,0,-0.009609,2.3194454013860796e-12
0,0,-0.009492,2.805531523220141e-12
0,0,-0.009258,3.833848333022392e-12
0,0,-0.009141,4.34782246014886e-12
0,0,-0.009023,4.839208127801817e-12
0,0,-0.008789,5.700104792011517e-12
0,0,-0.008672,6.044418044424292e-12
0,0,-0.008555,6.319469655732278e-12
0,0,-0.00832,6.6465809317127894e-12
0,0,-0.008203,6.700634090195011e-12
0,0,-0.008086,6.6882136551215505e-12
0,0,-0.007852,6.4955269297738545e-12
0,0,-0.007734,6.337263561369355e-12
0,0,-0.007617,6.152175516200778e-12
0,0,-0.007383,5.7404942650397635e-12
0,0,-0.007266,5.532457928691038e-12
0,0,-0.007148,5.3331062664685544e-12
0,0,-0.006914,4.982088922683e-12
0,0,-0.006797,4.8387524085823405e-12
0,0,-0.00668,4.717353904580832e-12
0,0,-0.006445,4.546033252819087e-12
0,0,-0.006328,4.494560163031131e-12
0,0,-0.006211,4.463449105760923e-12
0,0,-0.005977,4.450995002674748e-12
0,0,-0.005859,4.462777532182361e-12
0,0,-0.005742,4.4814637207807556e-12
0,0,-0.005508,4.523645988852678e-12
0,0,-0.005391,4.5395564375168256e-12
0,0,-0.005273,4.548269470632711e-12
0,0,-0.005039,4.529890650251962e-12
0,0,-0.004922,4.501165272894257e-12
0,0,-0.004805,4.458491710994044e-12
0,0,-0.00457,4.333403554592385e-12
0,0,-0.004453,4.253655271274813e-12
0,0,-0.004336,4.166717227557165e-12
0,0,-0.004102,3.9787907058420635e-12
0,0,-0.003984,3.883192107767131e-12
0,0,-0.003867,3.789934178674903e-12
0,0,-0.003633,3.6201052975688804e-12
0,0,-0.003516,3.545843751788606e-12
0,0,-0.003398,3.4806615869602262e-12
0,0,-0.003164,3.3799849201402557e-12
0,0,-0.003047,3.343793935252552e-12
