x,y,z,force
0,0,-0.015,2.985910494739097e-13
0,0,0.0,2.5256654497407947e-10
0,0,0.015,4.446856240317724e-14
0,0,-0.01312,5.605216496408624e-13
0,0,-0.01125,1.5819743546701148e-12
0,0,-0.009375,4.3119246877409815e-10
0,0,-0.0075,5.774629731565979e-10
0,0,-0.005625,4.698939042071647e-10
0,0,-0.00375,3.6958243791994303e-10
0,0,-0.001875,3.3120124946847136e-10
0,0,0.001875,2.2572961804715406e-10
0,0,0.00375,1.7727085504113293e-10
0,0,0.005625,1.500150576795676e-10
0,0,0.0075,1.3015890588024192e-10
0,0,0.009375,6.911292680634398e-11
0,0,0.01125,2.2954928108280294e-13
0,0,0.01312,5.442853146389715e-14
0,0,-0.01453,2.0323457070376213e-13
0,0,-0.01406,2.0896390669779883e-13
0,0,-0.01359,5.610772511214362e-13
0,0,-0.01266,3.907309421961171e-13
0,0,-0.01219,1.43543065757036e-12
0,0,-0.01172,2.2126845226765817e-12
0,0,-0.01078,1.571739315371124e-11
0,0,-0.01031,8.323154565606957e-11
0,0,-0.009844,2.3138414147848745e-10
0,0,-0.008906,6.028250385956166e-10
0,0,-0.008438,6.78034860845155e-10
0,0,-0.007969,6.528213860294644e-10
0,0,-0.007031,5.076453661343196e-10
0,0,-0.006562,4.70946041864099e-10
0,0,-0.006094,4.6489224387841506e-10
0,0,-0.005156,4.647541385297661e-10
0,0,-0.004688,4.403170674961726e-10
0,0,-0.004219,4.036339709845443e-10
0,0,-0.003281,3.4870908355057596e-10
0,0,-0.002812,3.412222667618312e-10
0,0,-0.002344,3.3880597419515595e-10
0,0,-0.001406,3.135446668176467e-10
0,0,-0.0009375,2.893697524699686e-10
0,0,-0.0004688,2.669240481026201e-10
0,0,0.0004688,2.467155313383892e-10
0,0,0.0009375,2.44274237312191e-10
0,0,0.001406,2.384653773817827e-10
0,0,0.002344,2.0820161435639217e-10
0,0,0.002812,1.9168070038543708e-10
0,0,0.003281,1.8110236503975147e-10
0,0,0.004219,1.7658191098784013e-10
0,0,0.004688,1.7344929741856857e-10
0,0,0.005156,1.642263444688294e-10
0,0,0.006094,1.3587343048847326e-10
0,0,0.006562,1.2715924936715867e-10
0,0,0.007031,1.2608936969969723e-10
0,0,0.007969,1.3243016760784719e-10
0,0,0.008438,1.2447898881561547e-10
0,0,0.008906,1.0199448948163439e-10
0,0,0.009844,3.6419648119834785e-11
0,0,0.01031,1.3504013099524757e-11
0,0,0.01078,2.8190200047882786e-12
0,0,0.01172,2.9628555695226574e-13
0,0,0.01219,2.8872570573784845e-13
0,0,0.01266,8.190248338700834e-14
0,0,0.01359,1.0586492272424764e-13
0,0,0.01406,6.742828591536543e-14
0,0,0.01453,2.1827440846717637e-14
0,0,-0.01488,2.9663888362256574e-13
0,0,-0.01477,2.7607221545512356e-13
0,0,-0.01465,2.420876727182853e-13
0,0,-0.01441,1.7035650954263087e-13
0,0,-0.0143,1.5517668911359838e-13
0,0,-0.01418,1.6636573173956512e-13
0,0,-0.01395,2.8091845150243645e-13
0,0,-0.01383,3.7339270328251963e-13
0,0,-0.01371,4.724450102067392e-13
0,0,-0.01348,6.226028922881133e-13
0,0,-0.01336,6.445431951818551e-13
0,0,-0.01324,6.219377324473334e-13
0,0,-0.01301,4.776685610690646e-13
0,0,-0.01289,3.998211074262739e-13
0,0,-0.01277,3.5997457121458624e-13
0,0,-0.01254,5.167937960519708e-13
0,0,-0.01242,7.460284903906329e-13
0,0,-0.0123,1.0646912949899406e-12
0,0,-0.01207,1.8009488920734972e-12
0,0,-0.01195,2.0923266666162465e-12
0,0,-0.01184,2.243620317859259e-12
0,0,-0.0116,2.0031756020614813e-12
0,0,-0.01148,1.6923831094540345e-12
0,0,-0.01137,1.4545354431174136e-12
0,0,-0.01113,2.4917969637947346e-12
0,0,-0.01102,4.71776687680033e-12
0,0,-0.0109,8.892263380658797e-12
0,0,-0.01066,2.5921705489848473e-11
0,0,-0.01055,4.0199626806117406e-11
0,0,-0.01043,5.915512814523265e-11
