x,y,z,force
0,0,-0.015,4.948964332149148e-14
0,0,0.0,4.721929144267724e-11
0,0,0.015,8.325813453215483e-15
0,0,-0.01312,6.748958554942233e-14
0,0,-0.01125,1.957619499611139e-13
0,0,-0.009375,8.587238996835868e-11
0,0,-0.0075,1.0563118575373972e-10
0,0,-0.005625,8.80368873759266e-11
0,0,-0.00375,6.854911367753259e-11
0,0,-0.001875,6.14414399276399e-11
0,0,0.001875,4.162238028716979e-11
0,0,0.00375,3.329909177748033e-11
0,0,0.005625,2.7542173634850664e-11
0,0,0.0075,2.4616032988307678e-11
0,0,0.009375,1.165915461926468e-11
0,0,0.01125,2.988536133146328e-14
0,0,0.01312,1.0312876156497333e-14
0,0,-0.01453,1.6850002352493482e-14
0,0,-0.01406,3.5006401724607356e-14
0,0,-0.01359,1.0865507640028368e-13
0,0,-0.01266,4.443806735792498e-14
0,0,-0.01219,3.038221596054402e-13
0,0,-0.01172,3.576657173814656e-13
0,0,-0.01078,3.723163644082404e-12
0,0,-0.01031,1.864788389397222e-11
0,0,-0.009844,4.861824522858898e-11
0,0,-0.008906,1.1502752349228292e-10
0,0,-0.008438,1.255408311330091e-10
0,0,-0.007969,1.1911499432705017e-10
0,0,-0.007031,9.399221444446053e-11
0,0,-0.006562,8.837589048971155e-11
0,0,-0.006094,8.762738137683987e-11
0,0,-0.005156,8.617171693330289e-11
0,0,-0.004688,8.103956640248797e-11
0,0,-0.004219,7.431970546414428e-11
0,0,-0.003281,6.52420579500576e-11
0,0,-0.002812,6.405826846414312e-11
0,0,-0.002344,6.335294347129758e-11
0,0,-0.001406,5.7810880573327506e-11
0,0,-0.0009375,5.335603973062978e-11
0,0,-0.0004688,4.951908726433484e-11
0,0,0.0004688,4.628538083593071e-11
0,0,0.0009375,4.567505505377943e-11
0,0,0.001406,4.4253026659686385e-11
0,0,0.002344,3.836824489831117e-11
0,0,0.002812,3.5533108943316573e-11
0,0,0.003281,3.385973495176171e-11
0,0,0.004219,3.307622752880395e-11
0,0,0.004688,3.221258122634543e-11
0,0,0.005156,3.023365336078677e-11
0,0,0.006094,2.5100604945979564e-11
0,0,0.006562,2.3792844963138273e-11
0,0,0.007031,2.3847301398112335e-11
0,0,0.007969,2.4718056974092047e-11
0,0,0.008438,2.267529641711738e-11
0,0,0.008906,1.796188676365299e-11
0,0,0.009844,5.8078723331924235e-12
0,0,0.01031,1.9863917010435293e-12
0,0,0.01078,3.605883226164806e-13
0,0,0.01172,4.956441581904016e-14
0,0,0.01219,3.6944202948340483e-14
0,0,0.01266,7.444431132835146e-15
0,0,0.01359,1.6227720444555338e-14
0,0,0.01406,7.025883631870757e-15
0,0,0.01453,2.707080044645497e-15
0,0,-0.01488,4.377450286000867e-14
0,0,-0.01477,3.509921933952411e-14
0,0,-0.01465,2.5249904910352507e-14
0,0,-0.01441,1.2737043060328461e-14
0,0,-0.0143,1.4460273864951548e-14
0,0,-0.01418,2.0363862314981437e-14
0,0,-0.01395,5.5007249746475037e-14
0,0,-0.01383,7.650967038151954e-14
0,0,-0.01371,9.552260607179605e-14
0,0,-0.01348,1.12444919105988e-13
0,0,-0.01336,1.0569945055595358e-13
0,0,-0.01324,8.951981937052584e-14
0,0,-0.01301,4.52202032298071e-14
0,0,-0.01289,3.063359290872046e-14
0,0,-0.01277,3.0465464355652554e-14
0,0,-0.01254,8.43919978750713e-14
0,0,-0.01242,1.4762239968336797e-13
0,0,-0.0123,2.243359143754537e-13
0,0,-0.01207,3.703918934612078e-13
0,0,-0.01195,4.085795654660335e-13
0,0,-0.01184,4.0587969052555153e-13
0,0,-0.0116,2.7369939513903314e-13
0,0,-0.01148,1.8215324494267665e-13
0,0,-0.01137,1.33647836492808e-13
0,0,-0.01113,4.645021342961109e-13
0,0,-0.01102,1.0433060012302842e-12
0,0,-0.0109,2.084343481535717e-12
0,0,-0.01066,6.0789716427969016e-12
0,0,-0.01055,9.35171879177975e-12
0,0,-0.01043,1.346041323263683e-11
0,0,-0.0102,2.4818654442871705e-11
0,0,-0.01008,3.194876611459546e-11
0,0,-0.009961,3.993050811459955e-11
0,0,-0.009727,5.7813014636838256e-11
0,0,-0.009609,6.726053337577348e-11
0,0,-0.009492,7.670234046710104e-11
0,0,-0.009258,9.452922511999037e-11
0,0,-0.009141,1.0238892799936209e-10
0,0,-0.009023,1.0928549282985807e-10
0,0,-0.008789,1.1954891941946121e-10
0,0,-0.008672,1.2279102113034354e-10
0,0,-0.008555,1.2472412743738777e-10
0,0,-0.00832,1.2520538855710071e-10
0,0,-0.008203,1.2390534320152073e-10
0,0,-0.008086,1.2182790436661758e-10
0,0,-0.007852,1.1588016661701944e-10
0,0,-0.007734,1.125309078716883e-10
0,0,-0.007617,1.0907536363419435e-10
0,0,-0.007383,1.02193661238372e-10
0,0,-0.007266,9.911628513424822e-11
0,0,-0.007148,9.6402240725429e-11
